Highest Value: 92.63%
Epoch #1 -> 55.47
Epoch #2 -> 71.29
Epoch #3 -> 72.32
Epoch #4 -> 79.2
Epoch #5 -> 80.16
Epoch #6 -> 82.38
Epoch #7 -> 80.76
Epoch #8 -> 83.77
Epoch #9 -> 82.91
Epoch #10 -> 84.69
Epoch #11 -> 83.84
Epoch #12 -> 85.73
Epoch #13 -> 86.69
Epoch #14 -> 87.58
Epoch #15 -> 86.06
Epoch #16 -> 87.2
Epoch #17 -> 87.18
Epoch #18 -> 86.53
Epoch #19 -> 87.9
Epoch #20 -> 87.6
Epoch #21 -> 88.33
Epoch #22 -> 88.22
Epoch #23 -> 88.82
Epoch #24 -> 88.26
Epoch #25 -> 87.37
Epoch #26 -> 88.48
Epoch #27 -> 89.35
Epoch #28 -> 88.9
Epoch #29 -> 88.89
Epoch #30 -> 88.9
Epoch #31 -> 89.86
Epoch #32 -> 89.46
Epoch #33 -> 89.12
Epoch #34 -> 88.96
Epoch #35 -> 89.27
Epoch #36 -> 89.7
Epoch #37 -> 89.33
Epoch #38 -> 90.1
Epoch #39 -> 89.56
Epoch #40 -> 89.57
Epoch #41 -> 89.54
Epoch #42 -> 88.71
Epoch #43 -> 89.93
Epoch #44 -> 89.97
Epoch #45 -> 89.76
Epoch #46 -> 89.85
Epoch #47 -> 90.1
Epoch #48 -> 89.7
Epoch #49 -> 90.24
Epoch #50 -> 90.91
Epoch #51 -> 90.27
Epoch #52 -> 90.26
Epoch #53 -> 89.9
Epoch #54 -> 90.64
Epoch #55 -> 90.46
Epoch #56 -> 90.42
Epoch #57 -> 90.25
Epoch #58 -> 90.27
Epoch #59 -> 90.92
Epoch #60 -> 89.99
Epoch #61 -> 90.79
Epoch #62 -> 90.56
Epoch #63 -> 90.68
Epoch #64 -> 89.82
Epoch #65 -> 90.57
Epoch #66 -> 90.22
Epoch #67 -> 90.38
Epoch #68 -> 90.22
Epoch #69 -> 90.69
Epoch #70 -> 91.05
Epoch #71 -> 90.17
Epoch #72 -> 90.98
Epoch #73 -> 91.22
Epoch #74 -> 90.97
Epoch #75 -> 90.99
Epoch #76 -> 90.59
Epoch #77 -> 90.91
Epoch #78 -> 90.65
Epoch #79 -> 91.03
Epoch #80 -> 91.23
Epoch #81 -> 90.45
Epoch #82 -> 91.24
Epoch #83 -> 91.02
Epoch #84 -> 91.27
Epoch #85 -> 90.99
Epoch #86 -> 91.4
Epoch #87 -> 90.39
Epoch #88 -> 90.78
Epoch #89 -> 91.02
Epoch #90 -> 90.82
Epoch #91 -> 91.35
Epoch #92 -> 91.27
Epoch #93 -> 91.1
Epoch #94 -> 91.36
Epoch #95 -> 91.51
Epoch #96 -> 91.65
Epoch #97 -> 91.26
Epoch #98 -> 91.28
Epoch #99 -> 91.56
Epoch #100 -> 91.13
Epoch #101 -> 91.25
Epoch #102 -> 91.52
Epoch #103 -> 91.38
Epoch #104 -> 91.22
Epoch #105 -> 91.54
Epoch #106 -> 91.55
Epoch #107 -> 91.59
Epoch #108 -> 90.97
Epoch #109 -> 90.84
Epoch #110 -> 91.38
Epoch #111 -> 90.92
Epoch #112 -> 91.09
Epoch #113 -> 90.77
Epoch #114 -> 91.3
Epoch #115 -> 91.29
Epoch #116 -> 91.33
Epoch #117 -> 91.25
Epoch #118 -> 90.87
Epoch #119 -> 91.13
Epoch #120 -> 91.55
Epoch #121 -> 91.34
Epoch #122 -> 91.73
Epoch #123 -> 91.37
Epoch #124 -> 91.67
Epoch #125 -> 91.36
Epoch #126 -> 90.95
Epoch #127 -> 91.47
Epoch #128 -> 91.39
Epoch #129 -> 91.11
Epoch #130 -> 91.12
Epoch #131 -> 91.55
Epoch #132 -> 91.59
Epoch #133 -> 91.54
Epoch #134 -> 91.22
Epoch #135 -> 91.26
Epoch #136 -> 91.17
Epoch #137 -> 91.23
Epoch #138 -> 91.41
Epoch #139 -> 91.59
Epoch #140 -> 91.49
Epoch #141 -> 91.28
Epoch #142 -> 91.65
Epoch #143 -> 91.36
Epoch #144 -> 91.78
Epoch #145 -> 91.03
Epoch #146 -> 91.54
Epoch #147 -> 91.32
Epoch #148 -> 91.87
Epoch #149 -> 91.66
Epoch #150 -> 91.76
Epoch #151 -> 91.43
Epoch #152 -> 91.54
Epoch #153 -> 91.48
Epoch #154 -> 91.52
Epoch #155 -> 91.46
Epoch #156 -> 91.81
Epoch #157 -> 92.06
Epoch #158 -> 91.49
Epoch #159 -> 91.75
Epoch #160 -> 91.03
Epoch #161 -> 91.77
Epoch #162 -> 91.79
Epoch #163 -> 91.8
Epoch #164 -> 90.86
Epoch #165 -> 91.45
Epoch #166 -> 91.02
Epoch #167 -> 91.78
Epoch #168 -> 91.71
Epoch #169 -> 91.56
Epoch #170 -> 91.68
Epoch #171 -> 91.66
Epoch #172 -> 91.6
Epoch #173 -> 91.69
Epoch #174 -> 91.18
Epoch #175 -> 91.6
Epoch #176 -> 91.79
Epoch #177 -> 91.78
Epoch #178 -> 91.1
Epoch #179 -> 91.3
Epoch #180 -> 91.69
Epoch #181 -> 91.37
Epoch #182 -> 91.65
Epoch #183 -> 91.95
Epoch #184 -> 92.03
Epoch #185 -> 91.47
Epoch #186 -> 91.69
Epoch #187 -> 91.77
Epoch #188 -> 92.12
Epoch #189 -> 92.15
Epoch #190 -> 91.69
Epoch #191 -> 91.39
Epoch #192 -> 91.61
Epoch #193 -> 92.03
Epoch #194 -> 91.59
Epoch #195 -> 91.99
Epoch #196 -> 91.61
Epoch #197 -> 91.36
Epoch #198 -> 91.36
Epoch #199 -> 91.73
Epoch #200 -> 91.68
Epoch #201 -> 91.78
Epoch #202 -> 91.92
Epoch #203 -> 91.33
Epoch #204 -> 91.7
Epoch #205 -> 91.26
Epoch #206 -> 91.84
Epoch #207 -> 91.51
Epoch #208 -> 91.93
Epoch #209 -> 91.78
Epoch #210 -> 91.52
Epoch #211 -> 91.82
Epoch #212 -> 91.54
Epoch #213 -> 92.06
Epoch #214 -> 91.65
Epoch #215 -> 91.76
Epoch #216 -> 91.73
Epoch #217 -> 91.78
Epoch #218 -> 92.09
Epoch #219 -> 92.26
Epoch #220 -> 91.91
Epoch #221 -> 91.86
Epoch #222 -> 91.67
Epoch #223 -> 91.86
Epoch #224 -> 91.91
Epoch #225 -> 91.38
Epoch #226 -> 92.06
Epoch #227 -> 92.01
Epoch #228 -> 91.6
Epoch #229 -> 92.08
Epoch #230 -> 91.65
Epoch #231 -> 92.28
Epoch #232 -> 91.73
Epoch #233 -> 92.02
Epoch #234 -> 91.9
Epoch #235 -> 92.0
Epoch #236 -> 91.77
Epoch #237 -> 92.25
Epoch #238 -> 91.65
Epoch #239 -> 91.94
Epoch #240 -> 92.2
Epoch #241 -> 92.07
Epoch #242 -> 91.67
Epoch #243 -> 92.02
Epoch #244 -> 91.76
Epoch #245 -> 91.7
Epoch #246 -> 91.67
Epoch #247 -> 91.87
Epoch #248 -> 91.34
Epoch #249 -> 92.16
Epoch #250 -> 91.99
Epoch #251 -> 91.57
Epoch #252 -> 92.18
Epoch #253 -> 92.1
Epoch #254 -> 92.32
Epoch #255 -> 91.75
Epoch #256 -> 92.17
Epoch #257 -> 91.92
Epoch #258 -> 92.21
Epoch #259 -> 92.01
Epoch #260 -> 91.61
Epoch #261 -> 91.75
Epoch #262 -> 91.9
Epoch #263 -> 91.84
Epoch #264 -> 91.81
Epoch #265 -> 91.8
Epoch #266 -> 91.97
Epoch #267 -> 91.4
Epoch #268 -> 92.18
Epoch #269 -> 91.61
Epoch #270 -> 91.99
Epoch #271 -> 92.2
Epoch #272 -> 92.31
Epoch #273 -> 92.11
Epoch #274 -> 92.22
Epoch #275 -> 91.84
Epoch #276 -> 92.24
Epoch #277 -> 92.1
Epoch #278 -> 92.02
Epoch #279 -> 92.1
